--------------------------------------------------------------------------------------------------------------------------------
+ Test Active Link              + Test Form                      3/12/2001  5:05:37 PM    Gain Focus; Lose Fo     0  Yes
SHRCFG:GPS-NextCfgStep01        SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Button;               101  Yes
SHRCFG:GPS-NextCfgStep02        SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Button;               102  Yes
SHRCFG:GPS-NextCfgStep03        SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Button;               103  Yes
SHRCFG:GPS-NextCfgStep04        SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Button;               104  Yes
SHRCFG:GPS-NextCfgStep05        SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Button;               105  Yes
SHRCFG:GPS-NoSubmit             SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Submit;                 0  Yes
SHRCFG:GPS-PrevCfgStep01        SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Button;               101  Yes
SHRCFG:GPS-PrevCfgStep02        SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Button;               102  Yes
SHRCFG:GPS-PrevCfgStep03        SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Button;               103  Yes
SHRCFG:GPS-PrevCfgStep04        SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Button;               104  Yes
SHRCFG:GPS-SearchError          SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Query;                  0  Yes
SHRCFG:GPS-SelectGroupMenu1     SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Menu Choice;            1  Yes
SHRCFG:GPS-SelectGroupMenu1a    SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Menu Choice;            1  Yes
SHRCFG:GPS-SetAppSchemaKwd01    SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Menu Choice;            1  Yes
SHRCFG:GPS-SetAppSchemaKwd02EL  SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Menu Choice;            2  Yes
SHRCFG:GPS-SetAppSchemaKwd3     SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Menu Choice;            3  Yes
SHRCFG:GPS-SetAppSchemaKwd4     SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Menu Choice;            4  Yes
SHRCFG:GPS-TableGrpSelect01     SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Menu Choice;            1  Yes
SHRCFG:GPS-TableNoSkillSelect1  SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Menu Choice;            1  Yes
SHRCFG:GPS-TableSkillSelect01   SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Menu Choice;            1  Yes
SHRCFG:GPS-TabListByGroup00     SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Gain Focus;             0  Yes
SHRCFG:GPS-TabListByGroup00aEL  SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Gain Focus;             0  Yes
SHRCFG:GPS-TabListByGroup01     SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Gain Focus;             1  Yes
SHRCFG:GPS-TabListByGroup02     SHRCFG:ConfigGroupSkills         1/11/2001 10:39:04 PM    Gain Focus;             2  Yes
SHRCFG:GPS-TabListByGroup03     SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             3  Yes
SHRCFG:GPS-TabNoSkill00         SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             0  Yes
SHRCFG:GPS-TabNoSkill01         SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             1  Yes
SHRCFG:GPS-TabNoSkill02         SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             2  Yes
SHRCFG:GPS-TabNoSkill03         SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             3  Yes
SHRCFG:GPS-TabShowPeople00      SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             0  Yes
SHRCFG:GPS-TabShowPeople01      SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             1  Yes
SHRCFG:GPS-TabShowPeople02      SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             2  Yes
SHRCFG:GPS-TabShowPeople03      SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             3  Yes
SHRCFG:GPS-TabSkill00           SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             0  Yes
SHRCFG:GPS-TabSkill01           SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             1  Yes
SHRCFG:GPS-TabSkill02           SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             2  Yes
SHRCFG:GPS-TabSkill03           SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Gain Focus;             3  Yes
SHRCFG:GPS-UpdateStepsModified  SHRCFG:ConfigGroupSkills         1/11/2001 10:39:05 PM    Button;               910  Yes
SHRCFG:INS-AddSkill01           SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;                 1  Yes
SHRCFG:INS-AddSkill02US         SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;                 2  Yes
SHRCFG:INS-BackToStart          SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;                 0  Yes
SHRCFG:INS-BackToStart2         SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Window Close;           2  Yes
SHRCFG:INSD-AddSkill01          SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 1  Yes
SHRCFG:INSD-AddSkill02          SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 2  Yes
SHRCFG:INSD-AddSkill02a         SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 2  Yes
SHRCFG:INSD-AddSkill03a         SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 3  Yes
SHRCFG:INSD-AddSkill03b         SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 3  Yes
SHRCFG:INSD-AddSkill04a         SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 4  Yes
SHRCFG:INSD-AddSkill04b         SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 4  Yes
SHRCFG:INSD-AddSkill05          SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 5  Yes
SHRCFG:INSD-AddSkill06          SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 6  Yes
SHRCFG:INSD-AddSkill07          SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 7  Yes
SHRCFG:INSD-AddSkill08          SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 8  Yes
SHRCFG:INSD-AddSkill09          SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 9  Yes
SHRCFG:INSD-AddSkill10ELSE      SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                10  Yes
SHRCFG:INSD-CategoryScope1Else  SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Return;                 1  Yes
SHRCFG:INSD-Close               SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Button;                 0  Yes
SHRCFG:INS-DelSkill01           SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;                 1  Yes
SHRCFG:INS-DelSkill02US         SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;                 2  Yes
SHRCFG:INSD-LocationScope1      SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Return;                 1  Yes
SHRCFG:INSD-OnOpenNameELSE      SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Window Open;            0  Yes
SHRCFG:INSD-OnOpenSetIdIfNull   SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Window Open;            0  Yes
SHRCFG:INSD-OnOpenSetScope      SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Window Open;            0  Yes
SHRCFG:INSD-SelectCategory      SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Menu Choice; Return     1  Yes
SHRCFG:INSD-SelectRegion        SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:02 PM    Menu Choice; Return     1  Yes
SHRCFG:INSD-SelectSite          SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:03 PM    Menu Choice; Return     1  Yes
SHRCFG:INSD-SelectType          SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:03 PM    Menu Choice; Return     1  Yes
SHRCFG:INSD-SetSchemaKeyword01  SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:03 PM    Menu Choice;            1  Yes
SHRCFG:INSD-SetSchemaKeyword02  SHRCFG:ConfigAddSkillsDialog     1/11/2001 10:35:03 PM    Menu Choice;            2  Yes
SHRCFG:INS-NextCfgStep01        SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;               101  Yes
SHRCFG:INS-NextCfgStep02        SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;               102  Yes
SHRCFG:INS-NextCfgStep03        SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;               103  Yes
SHRCFG:INS-NextCfgStep04        SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;               104  Yes
SHRCFG:INS-NextCfgStep05        SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;               105  Yes
SHRCFG:INS-NoSubmit             SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Submit;                 0  Yes
SHRCFG:INS-PrevCfgStep01        SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;               101  Yes
SHRCFG:INS-PrevCfgStep02        SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;               102  Yes
SHRCFG:INS-PrevCfgStep03        SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;               103  Yes
SHRCFG:INS-PrevCfgStep04        SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Button;               104  Yes
SHRCFG:INS-SearchError          SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Query;                  0  Yes
SHRCFG:INS-SelectPersonMenu1    SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Menu Choice;            1  Yes
SHRCFG:INS-SetAppSchemaKwd01    SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Menu Choice;            1  Yes
SHRCFG:INS-SetAppSchemaKwd02EL  SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Menu Choice;            2  Yes
SHRCFG:INS-SetAppSchemaKwd3     SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Menu Choice;            3  Yes
SHRCFG:INS-SetAppSchemaKwd4     SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Menu Choice;            4  Yes
SHRCFG:INS-TableNoSkillSelect1  SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Menu Choice;            1  Yes
SHRCFG:INS-TablePrsnSelect01    SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Menu Choice;            1  Yes
SHRCFG:INS-TablePrsnSelect02EL  SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Menu Choice;            2  Yes
SHRCFG:INS-TableSkillSelect01   SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Menu Choice;            1  Yes
SHRCFG:INS-TabListByPerson00    SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Gain Focus;             0  Yes
SHRCFG:INS-TabListByPerson01    SHRCFG:ConfigIndSkills           1/11/2001 10:39:08 PM    Gain Focus;             1  Yes
SHRCFG:INS-TabListByPerson02    SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             2  Yes
SHRCFG:INS-TabListByPerson03    SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             3  Yes
SHRCFG:INS-TabListByPerson04    SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             4  Yes
SHRCFG:INS-TabListByPerson05    SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             5  Yes
SHRCFG:INS-TabListByPerson0aEL  SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             0  Yes
SHRCFG:INS-TabNoSkill00         SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             0  Yes
SHRCFG:INS-TabNoSkill01         SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             1  Yes
SHRCFG:INS-TabNoSkill02         SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             2  Yes
SHRCFG:INS-TabNoSkill03         SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             3  Yes
SHRCFG:INS-TabSkill00           SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             0  Yes
SHRCFG:INS-TabSkill01           SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             1  Yes
SHRCFG:INS-TabSkill02           SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             2  Yes
SHRCFG:INS-TabSkill03           SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Gain Focus;             3  Yes
SHRCFG:INS-UpdateStepsModified  SHRCFG:ConfigIndSkills           1/11/2001 10:39:09 PM    Button;               910  Yes
SHRCFG:MES-CancModMeasurement   SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:23 PM    Button;                 0  Yes
SHRCFG:MES-CancSaveMeasurement  SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:23 PM    Button;                 0  Yes
SHRCFG:MES-ChangeOfSchema1      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:23 PM    Gain Focus;             1  Yes
SHRCFG:MES-ChangeOfSchema2      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:23 PM    Menu Choice; Return     2  Yes
SHRCFG:MES-CheckEndQualFltr1    SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:23 PM    Display; Window Ope    12  Yes
SHRCFG:MES-CheckEndQualFltr2    SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:23 PM    Gain Focus; Button;    13  Yes
SHRCFG:MES-CheckStartQualFltr1  SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:23 PM    Display; Window Ope    10  Yes
SHRCFG:MES-CheckStartQualFltr2  SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:23 PM    Gain Focus; Button;    11  Yes
SHRCFG:MES-CloseWindow          SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:23 PM    Button;                 0  Yes
SHRCFG:MES-DisableBizHrsTag     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:23 PM    Menu Choice; Return     0  Yes
SHRCFG:MES-DisableChangeFlag    SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Modify; Submit;         0  Yes
SHRCFG:MESD-SaveNo              SLA:SaveMeasurement              1/11/2001 10:43:27 PM    Button;                 0  Yes
SHRCFG:MESD-SaveYes             SLA:SaveMeasurement              1/11/2001 10:43:27 PM    Button;                 0  Yes
SHRCFG:MES-EnableBizHrsTag      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Menu Choice; Return     0  Yes
SHRCFG:MES-ExistFBComponent1    SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Display; Window Ope     5  Yes
SHRCFG:MES-ExistFBComponent2    SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Display; Window Ope     6  Yes
SHRCFG:MES-GetEndSample1        SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Button;                 1  Yes
SHRCFG:MES-GetEndSample2        SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Button;                 2  Yes
SHRCFG:MES-GetStartSample1      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Button;                 1  Yes
SHRCFG:MES-GetStartSample2      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Button;                 2  Yes
SHRCFG:MES-MapTagToID01         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Lose Focus;            10  Yes
SHRCFG:MES-MapTagToID02         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Lose Focus;            11  Yes
SHRCFG:MES-MapTagToID03         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Lose Focus;            12  Yes
SHRCFG:MES-MapTagToID04         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Lose Focus;            13  Yes
SHRCFG:MES-NoLicenseModify1     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Window Open;            1  Yes
SHRCFG:MES-NoLicenseModify2     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Window Open;            2  Yes
SHRCFG:MES-OnCreateDialogOpen   SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Window Open;            3  Yes
SHRCFG:MES-OnModifyDialogOpen1  SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Window Open;            3  Yes
SHRCFG:MES-OnModifyDialogOpen2  SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Window Open;            3  Yes
SHRCFG:MES-OpenEndQualDialog    SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Button;                 1  Yes
SHRCFG:MES-OpenStartQualDialog  SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Button;                 1  Yes
SHRCFG:MESQ-QualSrchCloseWin    SHRCFG:ConfigSLA-MesQualSearch   1/11/2001 10:43:27 PM    Window Close; Butto     0  Yes
SHRCFG:MESQ-QualSrchRefresh1    SHRCFG:ConfigSLA-MesQualSearch   1/11/2001 10:43:27 PM    Window Open;            1  Yes
SHRCFG:MESQ-QualSrchRefresh2    SHRCFG:ConfigSLA-MesQualSearch   1/11/2001 10:43:27 PM    Window Open;            2  Yes
SHRCFG:MESQ-QualSrchRefresh3    SHRCFG:ConfigSLA-MesQualSearch   1/11/2001 10:43:27 PM    Window Open;            3  Yes
SHRCFG:MESQ-QualSrchUseQual     SHRCFG:ConfigSLA-MesQualSearch   1/11/2001 10:43:27 PM    Button;                 0  Yes
SHRCFG:MES-SaveMeasFB01         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Button;                 1  Yes
SHRCFG:MES-SaveMeasFB02         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Button;                 2  Yes
SHRCFG:MES-SaveMeasFB03         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Button;                 3  Yes
SHRCFG:MES-SaveMeasFB04c_A      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:24 PM    Button;                 8  Yes
SHRCFG:MES-SaveMeasFB04c_B      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                 9  Yes
SHRCFG:MES-SaveMeasFB04c_C      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                10  Yes
SHRCFG:MES-SaveMeasFB04c_D      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                11  Yes
SHRCFG:MES-SaveMeasFB04m_A      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                 4  Yes
SHRCFG:MES-SaveMeasFB04m_B      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                 5  Yes
SHRCFG:MES-SaveMeasFB04m_C      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                 6  Yes
SHRCFG:MES-SaveMeasFB04m_D      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                 7  Yes
SHRCFG:MES-SaveMeasFB05         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                12  Yes
SHRCFG:MES-SaveMeasFB06         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                13  Yes
SHRCFG:MES-SaveMeasFB07         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                14  Yes
SHRCFG:MES-SaveMeasFB08         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                15  Yes
SHRCFG:MES-SaveMeasFB09         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                16  Yes
SHRCFG:MES-SaveMeasFB10         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                17  Yes
SHRCFG:MES-SaveMeasFB11         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                18  Yes
SHRCFG:MES-SaveMeasNameTemp     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Display;                1  Yes
SHRCFG:MES-SaveMeasOnly1        SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                 1  Yes
SHRCFG:MES-SaveMeasOnly2        SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                 2  Yes
SHRCFG:MES-SaveMeasOnly3        SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                 3  Yes
SHRCFG:MES-SaveMeasOnly4        SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                 4  Yes
SHRCFG:MES-SaveMeasOnly5        SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                 5  Yes
SHRCFG:MES-SaveMeasOnly6c_A     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:25 PM    Button;                10  Yes
SHRCFG:MES-SaveMeasOnly6c_B     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Button;                11  Yes
SHRCFG:MES-SaveMeasOnly6c_C     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Button;                12  Yes
SHRCFG:MES-SaveMeasOnly6c_D     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Button;                13  Yes
SHRCFG:MES-SaveMeasOnly6m_A     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Button;                 6  Yes
SHRCFG:MES-SaveMeasOnly6m_B     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Button;                 7  Yes
SHRCFG:MES-SaveMeasOnly6m_C     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Button;                 8  Yes
SHRCFG:MES-SaveMeasOnly6m_D     SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Button;                 9  Yes
SHRCFG:MES-SaveMeasOnly7        SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Button;                14  Yes
SHRCFG:MES-SaveMeasOnly8        SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Button;                15  Yes
SHRCFG:MES-SchemaCheck1         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Lose Focus; Return;     1  Yes
SHRCFG:MES-SchemaCheck2         SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Lose Focus; Return;     2  Yes
SHRCFG:MES-SetDefaults          SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    After Modify; After     0  Yes
SHRCFG:MES-TabEnd               SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Gain Focus;             1  Yes
SHRCFG:MES-TabSave              SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Gain Focus;             1  Yes
SHRCFG:MES-TabSaveNoBizTag      SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Gain Focus;             2  Yes
SHRCFG:MES-TabStart             SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Gain Focus;             1  Yes
SHRCFG:MES-ValidateBizHrsTag01  SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Lose Focus; Menu Ch     1  Yes
SHRCFG:MES-ValidateBizHrsTag02  SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Lose Focus; Menu Ch     2  Yes
SHRCFG:MES-ValidateBizHrsTag03  SHRCFG:ConfigSLA-Measurements    1/11/2001 10:43:26 PM    Lose Focus; Menu Ch     3  Yes
SHRCFG:MGP-AddPerson01          SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    Button;                 1  Yes
SHRCFG:MGP-AddPerson02          SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    Button;                 2  Yes
SHRCFG:MGP-AddPerson03Dialog    SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    Button;                 3  Yes
SHRCFG:MGP-AddPerson04          SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    Button;                 4  Yes
SHRCFG:MGP-AddPerson05          SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    Button;                 5  Yes
SHRCFG:MGP-AddPerson05a         SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    Button;                 5  Yes
SHRCFG:MGP-AddPerson06Asgn      SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    Button;                 6  Yes
SHRCFG:MGP-AddPerson07US        SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    Button;                 7  Yes
SHRCFG:MGP-BackToStart          SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    Button;                 1  Yes
SHRCFG:MGP-BackToStart2         SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    Window Close;           2  Yes
SHRCFG:MGP-CheckGroupNameId1    SHRCFG:ConfigManageGroups        1/11/2001 10:39:12 PM    None;                   1  Yes
SHRCFG:MGP-CheckGroupNameId2    SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    None;                   2  Yes
SHRCFG:MGP-CheckGroupNameId3    SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    None;                   3  Yes
SHRCFG:MGP-CheckGroupNameId4    SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    None;                   4  Yes
SHRCFG:MGPD-DialogCancel        SHRCFG:ConfigManageGroupDialog   1/11/2001 10:39:10 PM    Button;                 0  Yes
SHRCFG:MGPD-DialogClearFields   SHRCFG:ConfigManageGroupDialog   1/11/2001 10:39:10 PM    Button;                 0  Yes
SHRCFG:MGPD-DialogOK            SHRCFG:ConfigManageGroupDialog   1/11/2001 10:39:10 PM    Button;                 0  Yes
SHRCFG:MGPD-DialogRefreshTbl01  SHRCFG:ConfigManageGroupDialog   1/11/2001 10:39:10 PM    Button;                 1  Yes
SHRCFG:MGPD-DialogRefreshTbl02  SHRCFG:ConfigManageGroupDialog   1/11/2001 10:39:10 PM    Button;                 2  Yes
SHRCFG:MGP-GroupIdReturn01      SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Return;                 1  Yes
SHRCFG:MGP-GroupIdReturn02      SHRCFG:ConfigManageGroups        1/11/2001 10:39:13 PM    Return;                 2  Yes
